poin A;poin B;Nama;rally;type;Banyak pukulan
;;Axelsen;21;Lob(A);6
;;Momota;21;Dropshot(M);7
;;Axelsen;21;Lob(A);8
;;Momota;21;Dropshot(M);9
4;17;Axelsen;21;Netting(A);10
;;Momota;22;Lob(M);1
4;18;Axelsen;22;Smash(A);2
4;19;Axelsen;23;Lob(A);1
;;Momota;24;Lob(M);1
4;20;Axelsen;24;Smash(A);2
;;Momota;25;Lob(M);1
;;Axelsen;25;Lob(A);2
;;Momota;25;Lob(M);3
;;Axelsen;25;Lob(A);4
;;Momota;25;Smash(M);5
;;Axelsen;25;Drive(A);6
;;Momota;25;Lob(M);7
;;Axelsen;25;Lob(A);8
;;Momota;25;Dropshot(M);9
;;Axelsen;25;Netting(A);10
;;Momota;25;Lob(M);11
;;Axelsen;25;Lob(A);12
;;Momota;25;Dropshot(M);13
;;Axelsen;25;Netting(A);14
;;Momota;25;Lob(M);15
;;Axelsen;25;Lob(A);16
;;Momota;25;Smash(M);17
;;Axelsen;25;Lob(A);18
;;Momota;25;Drive(M);19
;;Axelsen;25;Lob(A);20
;;Momota;25;Lob(M);21
;;Axelsen;25;Lob(A);22
;;Momota;25;Dropshot(M);23
;;Axelsen;25;Lob(A);24
;;Momota;25;Lob(M);25
;;Axelsen;25;Lob(A);26
;;Momota;25;Dropshot(M);27
;;Axelsen;25;Lob(A);28
;;Momota;25;Lob(M);29
4;21;Axelsen;25;Smash(A);30
0;1;Axelsen;1;Drive(A);1
;;Momota;2;Dropshot(M);1
;;Axelsen;2;Netting(A);2
;;Momota;2;Dropshot(M);3
;;Axelsen;2;Lob(A);4
;;Momota;2;Dropshot(M);5
;;Axelsen;2;Lob(A);6
;;Momota;2;Lob(M);7
;;Axelsen;2;Smash(A);8
;;Momota;2;Drive(M);9
;;Axelsen;2;Netting(A);10
;;Momota;2;Netting(M);11
;;Axelsen;2;Lob(A);12
;;Momota;2;Dropshot(M);13
;;Axelsen;2;Lob(A);14
;;Momota;2;Dropshot(M);15
;;Axelsen;2;Netting(A);16
1;1;Momota;2;Netting(M);17
;;Axelsen;3;Lob(A);1
;;Momota;3;Dropshot(M);2
;;Axelsen;3;Drive(A);3
;;Momota;3;Netting(M);4
;;Axelsen;3;Lob(A);5
;;Momota;3;Drive(M);6
;;Axelsen;3;Netting(A);7
;;Momota;3;Netting(M);8
;;Axelsen;3;Netting(A);9
;;Momota;3;Lob(M);10
;;Axelsen;3;Dropshot(A);11
;;Momota;3;Drive(M);12
;;Axelsen;3;Lob(A);13
;;Momota;3;Drive(M);14
;;Axelsen;3;Lob(A);15
;;Momota;3;Dropshot(M);16
1;2;Axelsen;3;Lob(A);17
;;Momota;4;Dropshot(M);1
;;Axelsen;4;Lob(A);2
;;Momota;4;Dropshot(M);3
;;Axelsen;4;Lob(A);4
;;Momota;4;Drive(M);5
;;Axelsen;4;Netting(A);6
;;Momota;4;Netting(M);7
;;Axelsen;4;Lob(A);8
;;Momota;4;Lob(M);9
;;Axelsen;4;Smash(A);10
;;Momota;4;Drive(M);11
;;Axelsen;4;Netting(A);12
;;Momota;4;Netting(M);13
;;Axelsen;4;Lob(A);14
;;Momota;4;Dropshot(M);15
;;Axelsen;4;Lob(A);16
;;Momota;4;Lob(M);17
;;Axelsen;4;Smash(A);18
;;Momota;4;Netting(M);19
;;Axelsen;4;Lob(A);20
;;Momota;4;Smash(M);21
;;Axelsen;4;Netting(A);22
;;Momota;4;Netting(M);23
;;Axelsen;4;Lob(A);24
;;Momota;4;Dropshot(M);25
;;Axelsen;4;Netting(A);26
;;Momota;4;Lob(M);27
;;Axelsen;4;Dropshot(A);28
;;Momota;4;Drive(M);29
;;Axelsen;4;Lob(A);30
;;Momota;4;Drive(M);31
;;Axelsen;4;Drive(A);32
;;Momota;4;Dropshot(M);33
;;Axelsen;4;Drive(A);34
;;Momota;4;Lob(M);35
1;3;Axelsen;4;Smash(A);36
1;4;Axelsen;5;Drive(A);1
;;Momota;6;Smash(M);1
1;5;Axelsen;6;Drive(A);2
;;Momota;7;Netting(M);1
;;Axelsen;7;Lob(A);2
;;Momota;7;Dropshot(M);3
;;Axelsen;7;Drive(A);4
;;Momota;7;Drive(M);5
;;Axelsen;7;Drive(A);6
2;5;Momota;7;Drive(M);7
;;Axelsen;8;Drive(A);1
3;5;Momota;8;Netting(M);2
;;Axelsen;9;Lob(A);1
;;Momota;9;Smash(M);2
;;Axelsen;9;Drive(A);3
;;Momota;9;Lob(M);4
;;Axelsen;9;Smash(A);5
;;Momota;9;Drive(M);6
;;Axelsen;9;Netting(A);7
;;Momota;9;Netting(M);8
;;Axelsen;9;Netting(A);9
;;Momota;9;Lob(M);10
;;Axelsen;9;Smash(A);11
;;Momota;9;Drive(M);12
;;Axelsen;9;Netting(A);13
;;Momota;9;Netting(M);14
3;6;Axelsen;9;Smash(A);15
;;Momota;10;Lob(M);1
3;7;Axelsen;10;Smash(A);2
;;Momota;11;Netting(M);1
;;Axelsen;11;Lob(A);2
;;Momota;11;Smash(M);3
;;Axelsen;11;Drive(A);4
;;Momota;11;Drive(M);5
;;Axelsen;11;Lob(A);6
;;Momota;11;Drive(M);7
;;Axelsen;11;Drive(A);8
4;7;Momota;11;Lob(M);9
;;Axelsen;12;Lob(A);1
;;Momota;12;Smash(M);2
;;Axelsen;12;Drive(A);3
5;7;Momota;12;Lob(M);4
;;Axelsen;13;Lob(A);1
;;Momota;13;Dropshot(M);2
5;8;Axelsen;13;Netting(A);3
;;Momota;14;Netting(M);1
5;9;Axelsen;14;Lob(A);2
;;Momota;15;Lob(M);1
;;Axelsen;15;Smash(A);2
;;Momota;15;Drive(M);3
;;Axelsen;15;Netting(A);4
;;Momota;15;Lob(M);5
;;Axelsen;15;Smash(A);6
;;Momota;15;Netting(M);7
;;Axelsen;15;Lob(A);8
;;Momota;15;Smash(M);9
;;Axelsen;15;Lob(A);10
;;Momota;15;Dropshot(M);11
;;Axelsen;15;Drive(A);12
;;Momota;15;Lob(M);13
;;Axelsen;15;Smash(A);14
;;Momota;15;Drive(M);15
;;Axelsen;15;Netting(A);16
;;Momota;15;Lob(M);17
5;10;Axelsen;15;Smash(A);18
;;Momota;16;Lob(M);1
5;11;Axelsen;16;Dropshot(A);2
;;Momota;17;Smash(M);1
;;Axelsen;17;Netting(A);2
;;Momota;17;Lob(M);3
;;Axelsen;17;Smash(A);4
;;Momota;17;Drive(M);5
;;Axelsen;17;Lob(A);6
;;Momota;17;Dropshot(M);7
;;Axelsen;17;Netting(A);8
;;Momota;17;Netting(M);9
;;Axelsen;17;Lob(A);10
;;Momota;17;Dropshot(M);11
;;Axelsen;17;Netting(A);12
;;Momota;17;Lob(M);13
;;Axelsen;17;Smash(A);14
;;Momota;17;Drive(M);15
5;12;Axelsen;17;Lob(A);16
;;Momota;18;Drive(M);1
;;Axelsen;18;Netting(A);2
;;Momota;18;Netting(M);3
;;Axelsen;18;Lob(A);4
;;Momota;18;Dropshot(M);5
;;Axelsen;18;Netting(A);6
;;Momota;18;Netting(M);7
;;Axelsen;18;Lob(A);8
;;Momota;18;Dropshot(M);9
;;Axelsen;18;Netting(A);10
;;Momota;18;Netting(M);11
;;Axelsen;18;Lob(A);12
;;Momota;18;Smash(M);13
;;Axelsen;18;Lob(A);14
;;Momota;18;Smash(M);15
;;Axelsen;18;Lob(A);16
;;Momota;18;Dropshot(M);17
;;Axelsen;18;Drive(A);18
;;Momota;18;Lob(M);19
;;Axelsen;18;Smash(A);20
;;Momota;18;Drive(M);21
;;Axelsen;18;Lob(A);22
;;Momota;18;Drive(M);23
;;Axelsen;18;Lob(A);24
;;Momota;18;Lob(M);25
;;Axelsen;18;Smash(A);26
;;Momota;18;Netting(M);27
;;Axelsen;18;Lob(A);28
;;Momota;18;Lob(M);29
;;Axelsen;18;Smash(A);30
;;Momota;18;Drive(M);31
;;Axelsen;18;Lob(A);32
;;Momota;18;Dropshot(M);33
;;Axelsen;18;Drive(A);34
;;Momota;18;Dropshot(M);35
;;Axelsen;18;Lob(A);36
;;Momota;18;Lob(M);37
;;Axelsen;18;Dropshot(A);38
;;Momota;18;Netting(M);39
;;Axelsen;18;Lob(A);40
;;Momota;18;Dropshot(M);41
;;Axelsen;18;Netting(A);42
;;Momota;18;Lob(M);43
;;Axelsen;18;Smash(A);44
;;Momota;18;Drive(M);45
;;Axelsen;18;Netting(A);46
;;Momota;18;Lob(M);47
;;Axelsen;18;Smash(A);48
;;Momota;18;Drive(M);49
;;Axelsen;18;Lob(A);50
;;Momota;18;Drive(M);51
5;13;Axelsen;18;Netting(A);52
;;Momota;19;Lob(M);1
5;14;Axelsen;19;Smash(A);2
;;Momota;20;Drive(M);1
;;Axelsen;20;Netting(A);2
;;Momota;20;Lob(M);3
;;Axelsen;20;Smash(A);4
;;Momota;20;Drive(M);5
;;Axelsen;20;Netting(A);6
;;Momota;20;Lob(M);7
5;15;Axelsen;20;Smash(A);8
;;Momota;21;Drive(M);1
;;Axelsen;21;Netting(A);2
;;Momota;21;Netting(M);3
;;Axelsen;21;Lob(A);4
;;Momota;21;Smash(M);5
;;Axelsen;21;Netting(A);6
;;Momota;21;Netting(M);7
;;Axelsen;21;Lob(A);8
;;Momota;21;Smash(M);9
;;Axelsen;21;Lob(A);10
;;Momota;21;Drive(M);11
;;Axelsen;21;Drive(A);12
;;Momota;21;Drive(M);13
;;Axelsen;21;Drive(A);14
;;Momota;21;Netting(M);15
5;16;Axelsen;21;Lob(A);16
6;16;Momota;22;Lob(M);1
;;Axelsen;23;Netting(A);1
;;Momota;23;Lob(M);2
6;17;Axelsen;23;Smash(A);3
;;Momota;24;Lob(M);1
;;Axelsen;24;Dropshot(A);2
;;Momota;24;Netting(M);3
;;Axelsen;24;Lob(A);4
;;Momota;24;Dropshot(M);5
;;Axelsen;24;Netting(A);6
;;Momota;24;Lob(M);7
;;Axelsen;24;Smash(A);8
;;Momota;24;Drive(M);9
;;Axelsen;24;Lob(A);10
;;Momota;24;Dropshot(M);11
;;Axelsen;24;Lob(A);12
;;Momota;24;Dropshot(M);13
;;Axelsen;24;Lob(A);14
;;Momota;24;Lob(M);15
;;Axelsen;24;Dropshot(A);16
;;Momota;24;Drive(M);17
;;Axelsen;24;Netting(A);18
;;Momota;24;Lob(M);19
6;18;Axelsen;24;Smash(A);20
;;Momota;25;Smash(M);1
;;Axelsen;25;Drive(A);2
;;Momota;25;Netting(M);3
6;19;Axelsen;25;Lob(A);4
;;Momota;26;Lob(M);1
;;Axelsen;26;Dropshot(A);2
;;Momota;26;Netting(M);3
;;Axelsen;26;Lob(A);4
7;19;Momota;26;Drive(M);5
;;Axelsen;27;Lob(A);1
;;Momota;27;Smash(M);2
;;Axelsen;27;Drive(A);3
;;Momota;27;Netting(M);4
;;Axelsen;27;Lob(A);5
;;Momota;27;Lob(M);6
7;20;Axelsen;27;Smash(A);7
;;Momota;28;Smash(M);1
;;Axelsen;28;Drive(A);2
;;Momota;28;Smash(M);3
;;Axelsen;28;Lob(A);4
;;Momota;28;Lob(M);5
;;Axelsen;28;Smash(A);6
;;Momota;28;Drive(M);7
;;Axelsen;28;Lob(A);8
;;Momota;28;Dropshot(M);9
;;Axelsen;28;Lob(A);10
;;Momota;28;Lob(M);11
7;21;Axelsen;28;Smash(A);12
