poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
;;Momota;12;Lob(M);55
;;Axelsen;12;Lob(A);56
;;Momota;12;Smash(M);57
;;Axelsen;12;Lob(A);58
5;7;Momota;12;Dropshot(M);59
;;Axelsen;13;Lob(A);1
6;7;Momota;13;Dropshot(M);2
;;Axelsen;14;Lob(A);1
;;Momota;14;Dropshot(M);2
;;Axelsen;14;Netting(A);3
;;Momota;14;Lob(M);4
;;Axelsen;14;Smash(A);5
;;Momota;14;Drive(M);6
;;Axelsen;14;Drive(A);7
;;Momota;14;Lob(M);8
;;Axelsen;14;Dropshot(A);9
7;7;Momota;14;Netting(M);10
;;Axelsen;15;Lob(A);1
;;Momota;15;Smash(M);2
;;Axelsen;15;Netting(A);3
;;Momota;15;Drive(M);4
;;Axelsen;15;Netting(A);5
;;Momota;15;Lob(M);6
;;Axelsen;15;Dropshot(A);7
;;Momota;15;Netting(M);8
;;Axelsen;15;Netting(A);9
;;Momota;15;Lob(M);10
;;Axelsen;15;Dropshot(A);11
;;Momota;15;Netting(M);12
;;Axelsen;15;Lob(A);13
;;Momota;15;Smash(M);14
;;Axelsen;15;Drive(A);15
8;7;Momota;15;Drive(M);16
;;Axelsen;16;Netting(A);1
;;Momota;16;Lob(M);2
;;Axelsen;16;Smash(A);3
;;Momota;16;Drive(M);4
;;Axelsen;16;Lob(A);5
;;Momota;16;Smash(M);6
8;8;Axelsen;16;Drive(A);7
;;Momota;17;Lob(M);1
;;Axelsen;17;Dropshot(A);2
;;Momota;17;Lob(M);3
;;Axelsen;17;Lob(A);4
;;Momota;17;Dropshot(M);5
;;Axelsen;17;Netting(A);6
;;Momota;17;Lob(M);7
;;Axelsen;17;Lob(A);8
;;Momota;17;Smash(M);9
;;Axelsen;17;Netting(A);10
;;Momota;17;Netting(M);11
;;Axelsen;17;Lob(A);12
;;Momota;17;Dropshot(M);13
;;Axelsen;17;Netting(A);14
;;Momota;17;Lob(M);15
;;Axelsen;17;Lob(A);16
;;Momota;17;Dropshot(M);17
;;Axelsen;17;Lob(A);18
;;Momota;17;Dropshot(M);19
;;Axelsen;17;Lob(A);20
9;8;Momota;17;Dropshot(M);21
;;Axelsen;18;Lob(A);1
;;Momota;18;Lob(M);2
;;Axelsen;18;Smash(A);3
;;Momota;18;Netting(M);4
;;Axelsen;18;Netting(A);5
;;Momota;18;Lob(M);6
;;Axelsen;18;Dropshot(A);7
;;Momota;18;Netting(M);8
;;Axelsen;18;Netting(A);9
;;Momota;18;Lob(M);10
;;Axelsen;18;Lob(A);11
;;Momota;18;Smash(M);12
;;Axelsen;18;Drive(A);13
;;Momota;18;Lob(M);14
;;Axelsen;18;Netting(A);15
;;Momota;18;Lob(M);16
